time_stamp,station_id,wind_speed
2025-08-29,S109,5.3
2025-08-29,S106,4.0
2025-08-29,S43,4.3
2025-08-29,S107,11.0
2025-08-29,S104,4.1
2025-08-29,S115,6.5
2025-08-29,S121,3.6
2025-08-29,S60,4.8
2025-08-29,S50,6.2
